연도,구분,사이버성폭력,사이버도박,사이버 명예훼손 모욕,사이버스토킹,기타
2014,발생,4354,4271,8880,363,431
2014,검거,3739,4047,6241,300,316
2015,발생,4244,3352,15043,134,390
2015,검거,3475,3365,10202,124,222
2016,발생,3777,9538,14908,56,159
2016,검거,3435,9394,10539,53,118
2017,발생,2646,5130,13348,59,124
2017,검거,2329,5080,9756,52,95
2018,발생,3833,3012,15926,60,208
2018,검거,3282,2947,10889,50,137
2019,발생,2690,5346,16633,25,251
2019,검거,2164,5162,11632,20,176
2020,발생,4831,5692,19388,45,204
2020,검거,4063,5436,12638,39,126
2021,발생,4349,5505,28988,0,436
2021,검거,3504,5216,17243,0,321
2022,발생,3201,2997,29258,0,447
2022,검거,2335,2838,18242,0,268
2023,발생,2314,3436,24252,0,693
2023,검거,1737,3225,20390,0,464
2024,발생,3579,4413,18035,0,1014
2024,검거,2554,4106,14535,0,677
